freq,unit,sector,cofog99,na_item,geo\TIME_PERIOD	2015 	2016 	2017 	2018 	2019 	2020 	2021 
A,MIO_EUR,S13,GF0103,TE,LU	797.9 	980.7 	999.1 	1155.1 	985.5 	1060.4 	1144.7 
A,MIO_EUR,S13,GF0103,TE,LV	44.2 	49.6 	28.8 	57.1 	62.3 	55.3 	47.6 
A,MIO_EUR,S13,GF0103,TE,MT	95.0 	83.3 	102.9 	103.4 	149.1 	145.0 	130.7 
A,MIO_EUR,S13,GF0103,TE,NL	2597.0 	2779.0 	2865.0 	2765.0 	3039.0 	3045.0 	3102.0 
A,MIO_EUR,S13,GF0103,TE,NO	1794.5 	1698.3 	1771.0 	1861.0 	2018.6 	1810.2 	2066.4 
A,MIO_EUR,S13,GF0103,TE,PL	502.6 	448.4 	509.1 	547.4 	554.0 	653.7 	722.8 
A,MIO_EUR,S13,GF0103,TE,PT	455.3 	430.7 	452.0 	500.5 	507.7 	478.6 	520.7 p
A,MIO_EUR,S13,GF0103,TE,RO	236.0 	658.9 	529.4 	897.9 	614.7 	736.7 	711.1 
A,MIO_EUR,S13,GF0103,TE,SE	10306.2 	10839.5 	11519.9 	11232.5 	11380.3 	11771.2 	12239.4 
A,MIO_EUR,S13,GF0103,TE,SI	115.4 	134.0 	194.4 	188.3 	214.7 	185.8 	191.2 
A,MIO_EUR,S13,GF0103,TE,SK	319.8 	306.5 	343.2 	355.1 	298.8 	327.7 	368.3 
A,MIO_EUR,S13,GF0104,TE,AT	1755.4 	1882.7 	1880.6 	1978.7 	2027.5 	2056.0 	2169.3 
A,MIO_EUR,S13,GF0104,TE,BE	5001.4 	5155.0 	5153.9 	5203.7 	5358.2 	5276.3 	5589.1 
A,MIO_EUR,S13,GF0104,TE,BG	115.5 	81.4 	95.5 	108.3 	138.6 	161.8 	184.1 
A,MIO_EUR,S13,GF0104,TE,CH	8647.9 	8582.8 	8908.5 	8814.6 	9422.7 	10090.2 	9870.9 
A,MIO_EUR,S13,GF0104,TE,CY	86.4 	83.2 	88.0 	117.1 	125.6 	127.4 	168.2 
A,MIO_EUR,S13,GF0104,TE,CZ	1078.2 	993.6 	1112.4 	1226.9 	1418.5 	1505.5 	1619.1 
A,MIO_EUR,S13,GF0104,TE,DE	29213.0 	30214.0 	31489.0 	32769.0 	34281.0 p	35683.0 p	38143.0 p
A,MIO_EUR,S13,GF0104,TE,DK	4515.8 	4738.2 	4614.0 	4702.0 	4651.2 	4793.4 	4561.9 
A,MIO_EUR,S13,GF0104,TE,EA19	64275.7 	64614.2 	66775.2 	68988.5 	72012.5 	73799.4 	78144.2 
A,MIO_EUR,S13,GF0104,TE,EA20	64332.5 	64678.0 	66837.9 	69036.0 	72072.6 	73855.4 	78207.4 
A,MIO_EUR,S13,GF0104,TE,EE	99.0 	92.8 	103.5 	132.6 	140.3 	141.0 	153.6 
A,MIO_EUR,S13,GF0104,TE,EL	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,S13,GF0104,TE,ES	5019.0 	4938.0 	5256.0 	5334.0 	5604.0 	5743.0 	6173.0 p
A,MIO_EUR,S13,GF0104,TE,EU27_2020	78431.3 	78775.4 	81215.5 	83969.1 	86809.9 	88850.6 	93553.3 
A,MIO_EUR,S13,GF0104,TE,FI	1836.0 b	1877.0 	1938.0 	1996.0 	2094.0 	2077.0 	2174.0 
A,MIO_EUR,S13,GF0104,TE,FR	6801.0 	6739.0 	6906.0 	6942.0 	7250.0 	7023.0 p	7231.0 p
A,MIO_EUR,S13,GF0104,TE,HR	56.9 	63.8 	62.7 	47.5 	60.2 	56.1 	63.2 
A,MIO_EUR,S13,GF0104,TE,HU	398.6 	398.5 	437.4 	473.7 	547.9 	506.4 	356.5 
A,MIO_EUR,S13,GF0104,TE,IE	302.8 	305.9 	297.7 	364.6 	384.1 	355.8 	357.6 
A,MIO_EUR,S13,GF0104,TE,IS	15.2 	17.4 	21.7 	22.1 	22.6 	22.3 	23.6 
A,MIO_EUR,S13,GF0104,TE,IT	8189.0 	7680.0 	7975.0 	8384.0 	8641.0 	8730.0 	9111.0 
A,MIO_EUR,S13,GF0104,TE,LT	130.8 	138.7 	148.7 	152.9 	191.1 	192.1 	213.8 
A,MIO_EUR,S13,GF0104,TE,LU	210.1 	237.5 	262.2 	268.1 	284.6 	291.7 	327.2 
A,MIO_EUR,S13,GF0104,TE,LV	79.3 	72.0 	84.6 	128.7 	156.6 	124.5 	135.6 
A,MIO_EUR,S13,GF0104,TE,MT	0.0 	0.4 	0.3 	0.3 	0.3 	0.3 	0.3 
A,MIO_EUR,S13,GF0104,TE,NL	3715.0 	3647.0 	3671.0 	3866.0 	4146.0 	4559.0 	4665.0 
A,MIO_EUR,S13,GF0104,TE,NO	1958.2 	1985.6 	1969.1 	2004.3 	1961.6 	1803.5 	2019.5 
A,MIO_EUR,S13,GF0104,TE,PL	1094.9 	957.3 	942.0 	1151.8 	765.7 	835.8 	852.0 
A,MIO_EUR,S13,GF0104,TE,PT	851.8 	1010.7 	1014.7 	813.3 	762.2 	790.4 	864.1 p
A,MIO_EUR,S13,GF0104,TE,RO	31.2 	55.9 	50.9 	56.5 	56.6 	57.2 	57.0 
